gamma,avg_time_per_sim
1,1.5465768194198608
2,1.5265592622756958
3,1.5067515993118286
4,1.507763557434082
5,1.5116977214813232
6,1.515341420173645
7,1.5098978519439696
8,1.5106926202774047
9,1.5041803216934204
10,1.510863037109375
